MonthStart,CalendarYear,MonthNumber,MonthName,Quarter,FinancialYear,FinancialYearLabel,FinancialMonthNumber
2024-01-01,2024,1,January,1,2024,FY24,7
2024-02-01,2024,2,February,1,2024,FY24,8
2024-03-01,2024,3,March,1,2024,FY24,9
2024-04-01,2024,4,April,2,2024,FY24,10
2024-05-01,2024,5,May,2,2024,FY24,11
2024-06-01,2024,6,June,2,2024,FY24,12
2024-07-01,2024,7,July,3,2025,FY25,1
2024-08-01,2024,8,August,3,2025,FY25,2
2024-09-01,2024,9,September,3,2025,FY25,3
2024-10-01,2024,10,October,4,2025,FY25,4
2024-11-01,2024,11,November,4,2025,FY25,5
2024-12-01,2024,12,December,4,2025,FY25,6
2025-01-01,2025,1,January,1,2025,FY25,7
2025-02-01,2025,2,February,1,2025,FY25,8
2025-03-01,2025,3,March,1,2025,FY25,9
2025-04-01,2025,4,April,2,2025,FY25,10
2025-05-01,2025,5,May,2,2025,FY25,11
2025-06-01,2025,6,June,2,2025,FY25,12
2025-07-01,2025,7,July,3,2026,FY26,1
2025-08-01,2025,8,August,3,2026,FY26,2
2025-09-01,2025,9,September,3,2026,FY26,3
2025-10-01,2025,10,October,4,2026,FY26,4
2025-11-01,2025,11,November,4,2026,FY26,5
2025-12-01,2025,12,December,4,2026,FY26,6
2026-01-01,2026,1,January,1,2026,FY26,7
2026-02-01,2026,2,February,1,2026,FY26,8
2026-03-01,2026,3,March,1,2026,FY26,9
2026-04-01,2026,4,April,2,2026,FY26,10
2026-05-01,2026,5,May,2,2026,FY26,11
2026-06-01,2026,6,June,2,2026,FY26,12
