VendorKey,VendorName,VendorType
V001,Microsoft Australia,Logistics
V002,Amazon Web Services,Technology
V003,Adobe,Technology
V004,Atlassian,Logistics
V005,Salesforce,Travel
V006,Telstra,Professional Services
V007,Optus,Professional Services
V008,Deloitte,Professional Services
V009,PwC,Logistics
V010,KPMG,Technology
V011,Accenture,Logistics
V012,CBRE,Logistics
V013,Qantas,Marketing
V014,Virgin Australia,Technology
V015,Officeworks,Marketing
V016,JB Hi-Fi Business,Facilities
V017,Datacom,Technology
V018,DXC Technology,Technology
V019,Canon Australia,Technology
V020,Cisco Systems,Professional Services
V021,ServiceNow,Professional Services
V022,LinkedIn,Marketing
V023,Seek,Marketing
V024,Google Australia,Technology
V025,Meta Platforms,Marketing
V026,Australia Post,Professional Services
V027,Toll Group,Logistics
V028,Avis,Logistics
V029,Hertz,Logistics
V030,Western Power,Marketing
V031,Synergy,Facilities
V032,Aon,Professional Services
V033,Herbert Smith Freehills,Facilities
V034,MinterEllison,Marketing
V035,Local Supplier Group,Travel
