TransactionID,TransactionDate,CalendarYear,Quarter,MonthNumber,MonthName,DepartmentKey,CategoryKey,VendorKey,RegionKey,ProjectKey,Description,PaymentMethod,PostingStatus,NetAmount_AUD,GST_AUD,GrossAmount_AUD,PurchaseOrder,InvoiceNumber,OriginalCurrency,ExchangeRate
TX000001,2026-04-08,2026,2,4,April,D001,C020,V022,R04,P008,Customer Support Tools expense - Information Technology,Direct Debit,Posted,501.75,50.18,551.93,,INV-476417,AUD,1.0
TX000002,2026-05-17,2026,2,5,May,D006,C018,V030,R01,P001,Freight & Logistics expense - Operations,Invoice,Posted,8808.03,880.8,9688.83,PO-91070,INV-479201,AUD,1.0
TX000003,2025-08-14,2025,3,8,August,D004,C011,V019,R01,P008,Office Supplies expense - Marketing,Invoice,Posted,475.5,47.55,523.05,PO-56566,INV-319684,AUD,1.0
TX000004,2025-11-17,2025,4,11,November,D005,C019,V011,R05,P008,Vehicle Expenses expense - Sales,Invoice,Accrued,883.24,88.32,971.56,PO-83000,INV-330283,AUD,1.0
TX000005,2025-12-02,2025,4,12,December,D006,C003,V021,R01,P001,Hardware expense - Operations,Direct Debit,Posted,1279.94,127.99,1407.93,,INV-322955,AUD,1.0
TX000006,2025-11-02,2025,4,11,November,D008,C013,V010,R04,P008,Rent expense - Facilities,Invoice,Posted,1673.21,167.32,1840.53,PO-86484,INV-518801,AUD,1.0
TX000007,2025-01-05,2025,1,1,January,D004,C004,V004,R02,P002,Contractors expense - Marketing,Invoice,Posted,2884.24,288.42,3172.66,PO-60432,INV-500156,AUD,1.0
TX000008,2025-09-02,2025,3,9,September,D008,C014,V001,R01,P008,Utilities expense - Facilities,Direct Debit,Posted,866.33,86.63,952.96,,INV-456699,AUD,1.0
TX000009,2024-04-24,2024,2,4,April,D005,C010,V017,R01,P001,Events expense - Sales,Corporate Card,Posted,786.43,78.64,865.07,,,AUD,1.0
TX000010,2024-07-22,2024,3,7,July,D003,C006,V034,R03,P008,Travel expense - Human Resources,Invoice,Posted,1914.47,191.45,2105.92,PO-50306,INV-351083,AUD,1.0
TX000011,2024-02-29,2024,1,2,February,D004,C010,V032,R05,P002,Events expense - Marketing,Corporate Card,Posted,816.13,81.61,897.74,,,AUD,1.0
TX000012,2025-06-24,2025,2,6,June,D007,C004,V013,R05,P008,Contractors expense - Customer Service,Corporate Card,Accrued,2629.28,262.93,2892.21,,,AUD,1.0
TX000013,2025-04-07,2025,2,4,April,D002,C004,V015,R01,P005,Contractors expense - Finance,Corporate Card,Posted,1869.07,186.91,2055.98,,,AUD,1.0
TX000014,2024-02-02,2024,1,2,February,D006,C003,V032,R02,P004,Hardware expense - Operations,Direct Debit,Posted,581.86,58.19,640.05,,INV-922733,AUD,1.0
TX000015,2025-04-29,2025,2,4,April,D007,C004,V023,R01,P008,Contractors expense - Customer Service,Corporate Card,Pending,1385.88,138.59,1524.47,,,AUD,1.0
TX000016,2024-04-10,2024,2,4,April,D001,C004,V007,R03,P008,Contractors expense - Information Technology,Invoice,Posted,1117.93,111.79,1229.72,PO-42742,INV-179046,AUD,1.0
TX000017,2025-03-29,2025,1,3,March,D002,C001,V001,R03,P008,Software & SaaS expense - Finance,Invoice,Posted,1712.83,171.28,1884.11,PO-17685,INV-272634,AUD,1.0
TX000018,2025-01-23,2025,1,1,January,D001,C004,V030,R01,P008,Contractors expense - Information Technology,Corporate Card,Posted,670.42,67.04,737.46,,,AUD,1.0
TX000019,2025-05-13,2025,2,5,May,D003,C004,V035,R01,P008,Contractors expense - Human Resources,Invoice,Accrued,731.87,73.19,805.06,PO-79615,INV-265080,AUD,1.0
TX000020,2024-02-28,2024,1,2,February,D002,C017,V016,R01,P008,Legal & Compliance expense - Finance,Invoice,Posted,73.36,7.34,80.7,PO-20745,INV-539589,AUD,1.0
TX000021,2025-11-04,2025,4,11,November,D006,C006,V016,R01,P008,Travel expense - Operations,Corporate Card,Accrued,477.1,47.71,524.81,,,AUD,1.0
TX000022,2024-03-15,2024,1,3,March,D001,C004,V007,R03,P008,Contractors expense - Information Technology,Invoice,Posted,829.46,82.95,912.41,PO-42018,INV-487477,AUD,1.0
TX000023,2024-10-18,2024,4,10,October,D003,C007,V034,R04,P008,Training expense - Human Resources,Direct Debit,Posted,129.02,12.9,141.92,,INV-212235,AUD,1.0
TX000024,2026-01-30,2026,1,1,January,D003,C006,V022,R01,P003,Travel expense - Human Resources,Invoice,Accrued,176.26,17.63,193.89,PO-16658,INV-196781,AUD,1.0
TX000025,2025-10-11,2025,4,10,October,D007,C007,V009,R01,P005,Training expense - Customer Service,Corporate Card,Posted,352.78,35.28,388.06,,,AUD,1.0
TX000026,2024-01-10,2024,1,1,January,D002,C001,V010,R05,P008,Software & SaaS expense - Finance,Corporate Card,Posted,1425.66,142.57,1568.23,,,AUD,1.0
TX000027,2024-11-11,2024,4,11,November,D006,C003,V016,R04,P003,Hardware expense - Operations,Invoice,Pending,1239.29,123.93,1363.22,PO-30257,INV-348237,AUD,1.0
TX000028,2026-06-04,2026,2,6,June,D003,C004,V022,R04,P001,Contractors expense - Human Resources,Corporate Card,Posted,3090.82,309.08,3399.9,,,AUD,1.0
TX000029,2024-06-12,2024,2,6,June,D002,C006,V015,R04,P008,Travel expense - Finance,Direct Debit,Posted,170.16,17.02,187.18,,INV-517821,AUD,1.0
TX000030,2024-12-02,2024,4,12,December,D005,C001,V033,R05,P004,Software & SaaS expense - Sales,Invoice,Accrued,2153.0,215.3,2368.3,PO-44795,INV-140115,USD,1.4768
TX000031,2024-04-21,2024,2,4,April,D007,C007,V033,R03,P005,Training expense - Customer Service,Direct Debit,Accrued,234.03,23.4,257.43,,INV-872840,AUD,1.0
TX000032,2025-11-17,2025,4,11,November,D004,C006,V022,R02,P008,Travel expense - Marketing,Invoice,Posted,1080.8,108.08,1188.88,PO-97410,INV-528231,AUD,1.0
TX000033,2024-11-30,2024,4,11,November,D007,C007,V025,R02,P003,Training expense - Customer Service,Invoice,Posted,343.58,34.36,377.94,PO-66346,INV-923927,AUD,1.0
TX000034,2025-08-16,2025,3,8,August,D006,C011,V033,R02,P008,Office Supplies expense - Operations,Direct Debit,Posted,156.74,15.67,172.41,,INV-640490,AUD,1.0
TX000035,2025-11-10,2025,4,11,November,D006,C003,V020,R04,P008,Hardware expense - Operations,Invoice,Posted,571.12,57.11,628.23,PO-19545,INV-577538,AUD,1.0
TX000036,2025-02-28,2025,1,2,February,D004,C011,V016,R03,P008,Office Supplies expense - Marketing,Direct Debit,Posted,52.04,5.2,57.24,,INV-916232,AUD,1.0
TX000037,2025-03-11,2025,1,3,March,D004,C004,V030,R04,P008,Contractors expense - Marketing,Direct Debit,Posted,771.08,77.11,848.19,,INV-800005,AUD,1.0
TX000038,2025-06-27,2025,2,6,June,D006,C011,V033,R03,P008,Office Supplies expense - Operations,Invoice,Posted,80.78,8.08,88.86,PO-68991,INV-371782,AUD,1.0
TX000039,2026-02-08,2026,1,2,February,D004,C011,V032,R01,P008,Office Supplies expense - Marketing,Invoice,Posted,278.24,27.82,306.06,PO-51904,INV-666390,AUD,1.0
TX000040,2024-03-23,2024,1,3,March,D003,C004,V014,R01,P008,Contractors expense - Human Resources,Invoice,Posted,646.85,64.69,711.54,PO-65069,INV-508396,AUD,1.0
TX000041,2026-02-27,2026,1,2,February,D001,C020,V031,R04,P008,Customer Support Tools expense - Information Technology,Corporate Card,Accrued,270.87,27.09,297.96,,,AUD,1.0
TX000042,2025-03-05,2025,1,3,March,D004,C009,V002,R01,P007,Advertising expense - Marketing,Direct Debit,Posted,1453.71,145.37,1599.08,,INV-233827,AUD,1.0
TX000043,2025-09-29,2025,3,9,September,D001,C004,V006,R02,P008,Contractors expense - Information Technology,Invoice,Posted,2061.29,206.13,2267.42,PO-37742,INV-576786,AUD,1.0
TX000044,2024-11-30,2024,4,11,November,D006,C011,V027,R01,P008,Office Supplies expense - Operations,Invoice,Pending,157.04,15.7,172.74,PO-55870,INV-335113,AUD,1.0
TX000045,2025-10-27,2025,4,10,October,D002,C017,V002,R05,P001,Legal & Compliance expense - Finance,Invoice,Posted,142.64,14.26,156.9,PO-58351,INV-275939,AUD,1.0
TX000046,2025-09-12,2025,3,9,September,D002,C017,V007,R04,P008,Legal & Compliance expense - Finance,Invoice,Posted,2537.47,253.75,2791.22,PO-35995,INV-179688,AUD,1.0
TX000047,2025-08-29,2025,3,8,August,D004,C001,V008,R03,P005,Software & SaaS expense - Marketing,Invoice,Posted,2406.24,240.62,2646.86,PO-19038,INV-630538,AUD,1.0
TX000048,2025-10-25,2025,4,10,October,D006,C003,V007,R04,P008,Hardware expense - Operations,Direct Debit,Posted,777.33,77.73,855.06,,INV-284692,AUD,1.0
TX000049,2026-01-21,2026,1,1,January,D005,C012,V031,R04,P008,Telecommunications expense - Sales,Corporate Card,Posted,300.05,30.01,330.06,,,AUD,1.0
TX000050,2024-03-29,2024,1,3,March,D005,C010,V025,R01,P008,Events expense - Sales,Invoice,Posted,795.08,79.51,874.59,PO-43862,INV-456871,AUD,1.0
TX000051,2024-10-13,2024,4,10,October,D005,C012,V006,R01,P008,Telecommunications expense - Sales,Invoice,Posted,221.99,22.2,244.19,PO-74332,INV-569945,AUD,1.0
TX000052,2026-03-22,2026,1,3,March,D001,C001,V016,R01,P006,Software & SaaS expense - Information Technology,Invoice,Posted,760.48,76.05,836.53,PO-82140,INV-446859,AUD,1.0
TX000053,2024-12-26,2024,4,12,December,D008,C011,V013,R01,P004,Office Supplies expense - Facilities,Expense Claim,Posted,88.29,8.83,97.12,,,AUD,1.0
TX000054,2026-01-26,2026,1,1,January,D008,C011,V034,R03,P008,Office Supplies expense - Facilities,Invoice,Posted,408.22,40.82,449.04,PO-26591,INV-387636,AUD,1.0
TX000055,2024-02-16,2024,1,2,February,D001,C005,V032,R01,P008,Consulting expense - Information Technology,Invoice,Posted,717.76,71.78,789.54,PO-24953,INV-962050,USD,1.4879
TX000056,2024-03-07,2024,1,3,March,D007,C012,V004,R01,P008,Telecommunications expense - Customer Service,Invoice,Posted,186.82,18.68,205.5,PO-78494,INV-498855,AUD,1.0
TX000057,2025-04-06,2025,2,4,April,D008,C011,V020,R04,P008,Office Supplies expense - Facilities,Expense Claim,Posted,244.11,24.41,268.52,,,AUD,1.0
TX000058,2025-10-02,2025,4,10,October,D004,C006,V012,R03,P003,Travel expense - Marketing,Invoice,Posted,730.71,73.07,803.78,PO-14278,INV-342720,AUD,1.0
TX000059,2024-10-22,2024,4,10,October,D005,C019,V015,R04,P001,Vehicle Expenses expense - Sales,Direct Debit,Posted,1339.88,133.99,1473.87,,INV-779094,AUD,1.0
TX000060,2024-06-01,2024,2,6,June,D005,C006,V020,R01,P003,Travel expense - Sales,Direct Debit,Posted,1002.62,100.26,1102.88,,INV-418862,AUD,1.0
TX000061,2025-12-17,2025,4,12,December,D007,C007,V006,R02,P008,Training expense - Customer Service,Corporate Card,Posted,869.18,86.92,956.1,,,AUD,1.0
TX000062,2024-08-22,2024,3,8,August,D001,C020,V003,R03,P004,Customer Support Tools expense - Information Technology,Invoice,Posted,1088.73,108.87,1197.6,PO-86720,INV-557058,AUD,1.0
TX000063,2025-10-12,2025,4,10,October,D008,C003,V021,R02,P006,Hardware expense - Facilities,Invoice,Posted,4140.78,414.08,4554.86,PO-62488,INV-953085,AUD,1.0
TX000064,2026-02-17,2026,1,2,February,D001,C004,V008,R01,P004,Contractors expense - Information Technology,Invoice,Posted,4600.47,460.05,5060.52,PO-64165,INV-156837,USD,1.5486
TX000065,2024-07-11,2024,3,7,July,D006,C018,V004,R03,P008,Freight & Logistics expense - Operations,Direct Debit,Posted,667.45,66.75,734.2,,INV-227324,AUD,1.0
TX000066,2024-01-30,2024,1,1,January,D004,C011,V027,R01,P008,Office Supplies expense - Marketing,Invoice,Posted,595.98,59.6,655.58,PO-48254,INV-633590,AUD,1.0
TX000067,2025-12-23,2025,4,12,December,D005,C010,V016,R04,P008,Events expense - Sales,Invoice,Posted,728.83,72.88,801.71,PO-27892,INV-173201,AUD,1.0
TX000068,2024-10-09,2024,4,10,October,D007,C007,V001,R05,P008,Training expense - Customer Service,Corporate Card,Posted,186.51,18.65,205.16,,,USD,1.5234
TX000069,2025-07-05,2025,3,7,July,D008,C011,V025,R01,P008,Office Supplies expense - Facilities,Invoice,Posted,204.17,20.42,224.59,PO-40613,INV-997594,AUD,1.0
TX000070,2026-03-05,2026,1,3,March,D007,C001,V025,R01,P008,Software & SaaS expense - Customer Service,Direct Debit,Posted,646.72,64.67,711.39,,INV-626690,USD,1.5243
TX000071,2025-08-27,2025,3,8,August,D006,C003,V034,R04,P007,Hardware expense - Operations,Corporate Card,Posted,1455.07,145.51,1600.58,,,AUD,1.0
TX000072,2024-12-02,2024,4,12,December,D007,C007,V032,R03,P008,Training expense - Customer Service,Invoice,Posted,486.75,48.68,535.43,PO-68153,INV-274446,AUD,1.0
TX000073,2025-12-11,2025,4,12,December,D005,C001,V019,R01,P008,Software & SaaS expense - Sales,Invoice,Posted,726.24,72.62,798.86,PO-33600,INV-278240,AUD,1.0
TX000074,2024-06-28,2024,2,6,June,D002,C007,V016,R04,P008,Training expense - Finance,Invoice,Posted,275.78,27.58,303.36,PO-97404,INV-109853,AUD,1.0
TX000075,2026-04-03,2026,2,4,April,D008,C011,V029,R03,P003,Office Supplies expense - Facilities,Invoice,Posted,348.8,34.88,383.68,PO-59986,INV-699704,USD,1.578
